unit,med_spec,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 
NR,MED_HAE,EL	: 	: 	: 	: 	: 	: 	594.00 b	602.00 b	490.00 	469.00 	450.00 	443.00 	435.00 	416.00 	404.00 	388.00 	364.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,ES	: 	: 	: 	: 	: 	: 	2774.00 e	2671.00 e	2665.00 e	2713.00 e	2676.00 e	2690.00 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,FI	: 	: 	: 	: 	: 	: 	: 	76.00 	70.00 	69.00 	62.00 	61.00 bd	53.00 	54.00 	53.00 	48.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,FR	: 	: 	: 	: 	: 	682.00 	616.00 	552.00 	516.00 	477.00 	426.00 b	482.00 	464.00 b	452.00 	444.00 	448.00 	436.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,HR	: 	: 	: 	: 	: 	: 	155.00 	123.00 	127.00 	125.00 	119.00 	115.00 	107.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	279.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,IE	: 	: 	: 	: 	: 	105.00 	92.00 	79.00 b	105.00 b	106.00 	102.00 b	75.00 	66.00 	58.00 	53.00 	48.00 	44.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,IS	: 	: 	: 	: 	: 	: 	9.00 	9.00 	9.00 	8.00 	7.00 	6.00 	6.00 	6.00 	7.00 	7.00 	9.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,IT	: 	: 	: 	: 	: 	3416.00 	3405.00 	3379.00 	3320.00 	3416.00 	: 	: 	2436.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,LI	: 	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,LT	: 	: 	: 	: 	: 	: 	88.00 	82.00 	81.00 	90.00 	90.00 b	73.00 	70.00 	79.00 	70.00 	75.00 	76.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,LU	: 	: 	: 	: 	: 	3.00 	2.00 	1.00 	1.00 	1.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,LV	: 	: 	: 	: 	: 	: 	45.00 	50.00 	38.00 	35.00 	36.00 	51.00 	62.00 	71.00 	72.00 	71.00 	68.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,MK	: 	: 	: 	: 	: 	: 	76.00 	81.00 	79.00 	83.00 	81.00 	89.00 	76.00 	79.00 	78.00 	76.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,MT	: 	: 	: 	: 	: 	17.00 	16.00 	14.00 	12.00 	11.00 	4.00 	5.00 	9.00 	6.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,NO	: 	: 	: 	: 	: 	: 	83.00 b	72.00 	69.00 	67.00 	70.00 	64.00 	64.00 b	61.00 	58.00 	55.00 	53.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,PL	: 	: 	: 	: 	: 	: 	534.00 	525.00 	470.00 	461.00 	484.00 	342.00 	469.00 	418.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,PT	: 	: 	: 	: 	: 	: 	225.00 	215.00 	212.00 	201.00 	191.00 	188.00 	185.00 	182.00 	182.00 	182.00 	176.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,RO	: 	: 	: 	: 	: 	: 	331.00 	291.00 	258.00 	219.00 	184.00 	165.00 	181.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,RS	: 	: 	: 	: 	: 	: 	70.00 	67.00 	67.00 	63.00 	66.00 	61.00 	59.00 	44.00 	42.00 	36.00 	35.00 	30.00 	25.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,SE	: 	: 	: 	: 	: 	: 	: 	242.00 	233.00 	218.00 	215.00 	211.00 	197.00 	192.00 	177.00 	179.00 	169.00 	162.00 	160.00 	154.00 	141.00 	134.00 	129.00 	126.00 	122.00 	114.00 	108.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,SI	: 	: 	: 	: 	: 	: 	45.00 	44.00 	44.00 	41.00 	40.00 	39.00 	42.00 	43.00 	40.00 	37.00 	36.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,TR	: 	: 	: 	: 	: 	: 	378.00 	339.00 	337.00 	340.00 	287.00 	254.00 	257.00 	199.00 	179.00 	151.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_HAE,UK	: 	: 	: 	: 	: 	1914.00 	1885.00 b	1861.00 	1832.00 	1758.00 	1729.00 b	1654.00 b	1676.00 	1618.00 	1576.00 	1519.00 	1447.00 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,AT	: 	: 	: 	: 	: 	: 	15.00 	14.00 	13.00 	13.00 	12.00 	11.00 	11.00 	11.00 	10.00 	12.00 	9.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,BE	: 	: 	: 	: 	: 	: 	413.00 	409.00 	412.00 	412.00 	408.00 	409.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,BG	: 	: 	: 	: 	: 	: 	273.00 	272.00 	271.00 	251.00 	219.00 	205.00 	180.00 	261.00 	186.00 	183.00 	168.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,CH	: 	: 	: 	: 	: 	457.00 d	458.00 d	442.00 d	432.00 d	420.00 d	419.00 d	407.00 d	403.00 d	434.00 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,CY	: 	: 	: 	: 	: 	: 	25.00 	24.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.00 	: 	: 	: 	: 	12.00 	: 	4.00 	10.00 	9.00 	8.00 	8.00 	8.00 	8.00 	: 	3.00 
NR,MED_IMM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	600.00 	593.00 	589.00 	589.00 	576.00 	536.00 	: 	: 	503.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,DE	: 	: 	: 	: 	: 	: 	921.00 	899.00 	853.00 	801.00 	774.00 	740.00 	705.00 	658.00 	651.00 	627.00 	618.00 	605.00 	591.00 	585.00 	538.00 	537.00 	488.00 	466.00 	438.00 	436.00 	402.00 	394.00 	408.00 	368.00 	335.00 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,DK	: 	: 	: 	: 	: 	: 	: 	269.00 	262.00 	260.00 	260.00 	255.00 	249.00 	248.00 	238.00 	240.00 	237.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,EE	: 	: 	: 	: 	: 	: 	48.00 	51.00 	47.00 b	40.00 	41.00 	36.00 	38.00 	41.00 	41.00 	39.00 	36.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,EL	: 	: 	: 	: 	: 	: 	554.00 b	535.00 b	450.00 	437.00 	421.00 	409.00 	401.00 	380.00 	368.00 	361.00 	347.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,ES	: 	: 	: 	: 	: 	: 	2277.00 de	2212.00 de	2218.00 de	2265.00 de	2216.00 de	2252.00 de	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,FI	: 	: 	: 	: 	: 	: 	: 	103.00 	103.00 	105.00 	107.00 	110.00 bd	92.00 	93.00 	84.00 	83.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,FR	: 	: 	: 	: 	: 	2606.00 	2624.00 	2598.00 	2598.00 	2611.00 	2598.00 b	2664.00 	2652.00 b	2671.00 	2673.00 	2685.00 	2710.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,HR	: 	: 	: 	: 	: 	: 	17.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	809.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,IE	: 	: 	: 	: 	: 	91.00 	64.00 	57.00 b	94.00 b	97.00 	95.00 b	58.00 	54.00 	50.00 	45.00 	38.00 	35.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,IS	: 	: 	: 	: 	: 	: 	28.00 	28.00 	27.00 	27.00 	26.00 	25.00 	26.00 	26.00 	26.00 	26.00 	25.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,IT	: 	: 	: 	: 	: 	2616.00 	2488.00 	2514.00 	2512.00 	2520.00 	: 	: 	2479.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,LI	: 	: 	: 	: 	: 	1.00 	1.00 	1.00 	1.00 	1.00 	1.00 	1.00 	1.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,LT	: 	: 	: 	: 	: 	: 	123.00 	124.00 	120.00 	114.00 	103.00 b	80.00 	80.00 	79.00 	77.00 	72.00 	70.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,LU	: 	: 	: 	: 	: 	18.00 	18.00 	16.00 	19.00 	19.00 	16.00 	16.00 	17.00 	15.00 	15.00 	15.00 	12.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,LV	: 	: 	: 	: 	: 	: 	37.00 	35.00 	38.00 	36.00 	31.00 	29.00 	37.00 	33.00 	32.00 	34.00 	33.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,ME	: 	: 	: 	: 	: 	4.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	5.00 	1.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,MK	: 	: 	: 	: 	: 	: 	6.00 	2.00 	1.00 	1.00 	1.00 	1.00 	1.00 	1.00 	1.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,MT	: 	: 	: 	: 	: 	6.00 	8.00 	7.00 	8.00 	7.00 	7.00 	11.00 	4.00 	5.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,NL	: 	: 	: 	: 	: 	: 	439.00 	414.00 b	397.00 	377.00 	348.00 	339.00 	317.00 	309.00 	296.00 	288.00 	272.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,NO	: 	: 	: 	: 	: 	: 	173.00 b	167.00 	163.00 	152.00 	147.00 	135.00 	139.00 b	131.00 	137.00 	139.00 	132.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,PL	: 	: 	: 	: 	: 	: 	1903.00 	1853.00 	1804.00 	1819.00 	1771.00 	1499.00 	1768.00 	1765.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,PT	: 	: 	: 	: 	: 	: 	613.00 	602.00 	590.00 	573.00 	557.00 	541.00 	528.00 	506.00 	506.00 	498.00 	483.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,RO	: 	: 	: 	: 	: 	: 	613.00 	592.00 	548.00 	555.00 	497.00 	478.00 	441.00 	344.00 	341.00 	257.00 b	370.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,RS	: 	: 	: 	: 	: 	: 	65.00 	62.00 	61.00 	59.00 	57.00 	58.00 	56.00 	52.00 	52.00 	52.00 	47.00 	45.00 	39.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,SE	: 	: 	: 	: 	: 	: 	: 	532.00 	521.00 	505.00 	479.00 	464.00 	451.00 	441.00 	446.00 	442.00 	432.00 	429.00 	431.00 	415.00 	410.00 	388.00 	378.00 	364.00 	344.00 	334.00 	337.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,SI	: 	: 	: 	: 	: 	: 	14.00 	13.00 	11.00 	8.00 	8.00 	5.00 	4.00 	3.00 	3.00 	2.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,TR	: 	: 	: 	: 	: 	: 	477.00 	333.00 	331.00 	330.00 	273.00 	239.00 	257.00 	188.00 	162.00 	99.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_IMM,UK	: 	: 	: 	: 	: 	1396.00 	1334.00 b	1345.00 	1307.00 	1261.00 	1262.00 b	1192.00 b	1216.00 	1129.00 	1141.00 	1132.00 	1128.00 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,AT	: 	: 	: 	: 	: 	: 	4488.00 	4336.00 	4194.00 	3993.00 	3848.00 	3761.00 	3650.00 	3581.00 	3511.00 	3374.00 	3249.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,BE	: 	: 	: 	: 	: 	: 	1477.00 	1424.00 	1429.00 	1427.00 	1514.00 	1452.00 	1333.00 	1328.00 	1319.00 	1542.00 	1713.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,BG	: 	: 	: 	: 	: 	: 	1353.00 	1495.00 	1566.00 	1670.00 	1715.00 	1687.00 	1777.00 	1860.00 	1892.00 b	1984.00 	1982.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,CH	: 	: 	: 	: 	: 	423.00 d	389.00 d	363.00 d	353.00 d	332.00 d	330.00 bd	3438.00 d	3291.00 d	3153.00 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,CY	: 	: 	: 	: 	: 	: 	8.00 	7.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.00 	: 	: 	: 	: 	19.00 	: 	184.00 	174.00 	156.00 	139.00 	137.00 	130.00 	14.00 	: 	111.00 
NR,MED_INT,CZ	: 	: 	: 	: 	: 	: 	: 	: 	5848.00 	5890.00 	5806.00 	5773.00 b	5608.00 	5624.00 	: 	: 	5774.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,DE	: 	: 	: 	: 	: 	: 	30327.00 	29516.00 	29360.00 	29408.00 	28893.00 	28078.00 	27596.00 	27545.00 	27456.00 	27375.00 	27041.00 	26673.00 	26479.00 	26208.00 	26281.00 	25619.00 	25887.00 	25579.00 	25252.00 	24699.00 	24167.00 	23754.00 	23349.00 	22679.00 	22006.00 	: 	: 	: 	: 	: 	: 
NR,MED_INT,DK	: 	: 	: 	: 	: 	: 	: 	301.00 	311.00 	303.00 	308.00 	313.00 	312.00 	311.00 	313.00 	320.00 	348.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,EE	: 	: 	: 	: 	: 	: 	358.00 b	311.00 d	302.00 bd	187.00 	178.00 	171.00 	160.00 	181.00 	175.00 	176.00 	182.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,EL	: 	: 	: 	: 	: 	: 	2815.00 b	2841.00 b	1630.00 	1672.00 	1681.00 	1662.00 	1614.00 	1595.00 	1602.00 	1562.00 	1559.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,ES	: 	: 	: 	: 	: 	: 	10586.00 de	10309.00 de	10312.00 de	10475.00 de	10276.00 de	10295.00 de	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,FI	: 	: 	: 	: 	: 	: 	: 	943.00 	962.00 	987.00 	980.00 	961.00 bd	753.00 	754.00 	771.00 	777.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,FR	: 	: 	: 	: 	: 	4315.00 	4193.00 	4066.00 	3960.00 	3817.00 	3634.00 b	2273.00 	2272.00 b	2400.00 	2442.00 	2500.00 	2502.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,HR	: 	: 	: 	: 	: 	: 	2015.00 	1974.00 	1978.00 	1932.00 	1889.00 	1826.00 	1720.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1928.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,IE	: 	: 	: 	: 	: 	789.00 	706.00 	631.00 b	790.00 b	1275.00 	1486.00 b	697.00 	591.00 	524.00 	451.00 	392.00 	351.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,IS	: 	: 	: 	: 	: 	: 	79.00 	76.00 	76.00 	79.00 	77.00 	80.00 	83.00 	84.00 	78.00 	76.00 	78.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,IT	: 	: 	: 	: 	: 	25046.00 	24784.00 	25680.00 	26049.00 	24946.00 	: 	: 	22726.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,LI	: 	: 	: 	: 	: 	22.00 	21.00 	22.00 	23.00 	20.00 	17.00 	17.00 	15.00 	15.00 	15.00 	16.00 	14.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,LT	: 	: 	: 	: 	: 	: 	1325.00 	1345.00 	1340.00 	1321.00 	1287.00 b	1101.00 	1154.00 	1223.00 	1202.00 	1262.00 	1225.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,LU	: 	: 	: 	: 	: 	135.00 d	136.00 d	137.00 d	135.00 d	133.00 d	135.00 d	130.00 d	125.00 d	119.00 d	119.00 d	121.00 d	115.00 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,LV	: 	: 	: 	: 	: 	: 	505.00 	505.00 	505.00 	520.00 	537.00 	549.00 	632.00 	687.00 	675.00 	647.00 	614.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,ME	: 	: 	: 	: 	: 	246.00 	227.00 	203.00 	195.00 	172.00 	181.00 	186.00 	181.00 	180.00 	179.00 	181.00 	170.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,MK	: 	: 	: 	: 	: 	: 	999.00 	940.00 	799.00 	750.00 	739.00 	677.00 b	777.00 	753.00 	733.00 	703.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,MT	: 	: 	: 	: 	: 	145.00 	138.00 	116.00 	96.00 	93.00 	85.00 d	74.00 	76.00 	59.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,NL	: 	: 	: 	: 	: 	: 	3429.00 	3349.00 b	3206.00 	3106.00 	2915.00 	2817.00 	2642.00 	2562.00 	2573.00 	2527.00 	2421.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,NO	: 	: 	: 	: 	: 	: 	506.00 b	472.00 	465.00 	460.00 	473.00 	439.00 	460.00 b	550.00 	545.00 	551.00 	523.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,PL	: 	: 	: 	: 	: 	: 	14294.00 d	15883.00 d	15921.00 d	16153.00 d	16093.00 d	15009.00 bd	8036.00 	13821.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,PT	: 	: 	: 	: 	: 	: 	2569.00 	2466.00 	2374.00 	2244.00 	2083.00 	1998.00 	1959.00 	1910.00 	1879.00 	1837.00 	1808.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,RO	: 	: 	: 	: 	: 	: 	6174.00 	5807.00 	5635.00 	5496.00 	5086.00 	5003.00 	4865.00 	6310.00 	6119.00 	6083.00 b	2230.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,RS	: 	: 	: 	: 	: 	: 	1684.00 	1700.00 	1738.00 	1775.00 	1759.00 	1756.00 	1770.00 	1808.00 	1782.00 	1823.00 	1876.00 	1992.00 	2020.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,SE	: 	: 	: 	: 	: 	: 	: 	2508.00 	2501.00 	2510.00 	2456.00 	2408.00 	2314.00 	2308.00 	2294.00 	2212.00 	2139.00 	2072.00 	2008.00 	1977.00 	1932.00 	1867.00 	1839.00 	1819.00 	1780.00 	1826.00 	1832.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MED_INT,SI	: 	: 	: 	: 	: 	: 	866.00 d	883.00 d	870.00 d	865.00 d	875.00 d	846.00 d	833.00 d	823.00 d	810.00 d	777.00 d	768.00 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
