n,id,cert/cot,cert/clr,cert/v,s,t,geo/0,geo/1
CENTRE DE REEDUCATION LA LANDE,240002402,B,2,4,2,2,0.573048,45.171401
ANTENNE AUTODIALYSE AURAD BERGERAC,240002691,B,2,4,3,1,0.485229,44.851442
ANTENNE AUTODIALYSE AURAD CASTELS,240002725,B,2,4,3,1,1.050381,44.866828
ANTENNE AUTODIALYSE FRANCHEVILLE,240003293,B,2,4,2,1,0.336709,45.248203
ANTENNE AUTODIALYSE FRANCHEVILLE,240003301,B,2,4,2,1,1.161488,45.066525
CENTRE D'HEMODIALYSE FRANCHEVILLE,240006734,B,2,4,2,2,0.71708,45.181395
CENTRE DE SOINS LE VERGER DES BALANS,240008318,A,1,4,2,2,0.576252,45.171314
HAD DE LA CLINIQUE PASTEUR,240011668,B,2,4,2,2,0.489893,44.851203
ANTENNE/UNITE DE DIALYSE FRANCHEVILLE,240013219,B,2,4,2,2,0.719944,45.181632
ANTENNE AUTODIALYSE FRANCHEVILLE,240013466,B,2,4,2,2,0.505437,44.858282
CHU/ CHRU SAINT-JACQUES,250000023,B,2,4,1,2,6.0207296999,47.2348061
CAPIO CLINIQUE SAINT VINCENT BESANCON,250000270,B,2,4,2,2,5.979993,47.244457
CAPIO CLINIQUE SAINT PIERRE PONTARLIER,250000288,A,1,4,2,2,6.3492333,46.9055765
CRRF LES SALINS DE BREGILLE,250000544,A,1,4,3,2,6.040323,47.241874
UNITE PSY ADULTE LE GRANDVALLIER CHIHC,250000619,B,2,4,1,2,6.3542419999,46.9041039
CH PAUL NAPPEZ MORTEAU,250000627,A,1,4,1,2,6.6028529,47.0605683
CH SAINTE CROIX BAUME LES DAMES,250000635,B,2,4,1,2,6.35742,47.352017
CHI HC SITE RIVES DU DOUBS PONTARLIER,250000700,B,2,4,1,2,6.8821669999,47.441944
CHS NOVILLARS,250000718,B,2,4,1,2,6.127388,47.283919
CH SAINT LOUIS ORNANS,250000726,B,2,4,1,2,6.142833,47.107662
CHI HAUTE COMTE SITE R SALINS MOUTHE,250000734,B,2,4,1,2,6.1881061999,46.705690999
CENTRE DE SOINS TILLEROYES,250000759,B,2,4,1,2,5.962797,47.23496
ETABLISSEMENT DE SANTE DE QUINGEY,250000882,B,2,4,1,2,5.886112,47.101831
USLD BELLEVAUX,250001237,A,1,4,1,2,6.02204,47.2424299
USLD JACQUES WEINMAN AVANNE,250001252,A,1,4,1,2,5.965644,47.203732
LE MITTAN ANNEXE DU HNFC,250004009,B,2,4,1,2,6.7827651,47.526592699
CHU/ CHRU JEAN MINJOZ,250006954,B,2,4,1,3,5.964761,47.22492
USLD PONTARLIER,250007234,B,2,4,1,2,6.349001,46.9276
POLYCLINIQUE DE FRANCHE COMTE,250011848,B,2,4,3,2,5.9799187999,47.215542
HOSPITALIA MUTUALITE HAD PONTARLIER,250012069,B,2,4,3,2,6.3497586,46.9021989
UNITE DE DIALYSE DE PONTARLIER,250013448,B,2,4,3,1,6.3492333,46.9055765
CHS ST REMY ET NFC CTRE JEAN MESSAGIER,250014008,A,1,4,3,2,6.7984659999,47.510356
UNITE DE DIALYSE BESANCON,250015526,B,2,4,3,2,5.970295,47.228251
UNITE DE DIALYSE DE MONTBELIARD,250015534,B,2,4,3,2,6.793456,47.517733
CRCPFC LES HAUTS DE CHAZAL,250016003,A,1,4,3,2,5.939495,47.21659
HOSPITALIA MUTUALITE HAD ETUPES,250016037,B,2,4,3,2,6.853728,47.510097
HOSPITALIA MUTUALITE HAD,250016045,B,2,4,3,2,5.986208,47.238809
CH DE VALENCE,260000013,B,2,4,1,3,4.906216,44.911873
HOPITAUX DROME NORD - ROMANS-SUR-ISERE,260000120,B,2,4,1,3,5.028807,45.0434
CH PORTES PROVENCE MONTELIMAR,260000138,B,2,4,1,3,4.7829262731,44.568995958
CH DE CREST,260000146,B,2,4,1,2,5.021332,44.729902
CLINIQUE PNEUMOLOGIE LES RIEUX,260000195,B,2,4,3,2,5.15043,44.358417
HOPITAUX DROME NORD - SAINT-VALLIER,260000203,B,2,4,1,2,4.820311,45.175692
CH PORTES PROVENCE DIEULEFIT,260000229,B,2,4,1,2,5.064955,44.526484
CH DE NYONS,260000237,A,1,4,1,2,5.136796,44.359541
CLINIQUE LA PARISIERE,260000260,A,1,4,2,2,5.05665,45.040256
CH DE BUIS LES BARONNIES,260000278,B,2,4,1,2,5.268893,44.279481
CH DE DIE,260000286,B,2,4,1,2,5.371146,44.754424
ETABLISSEMENT MEDICAL LA TEPPE,260000302,B,2,4,3,2,4.842514,45.070691
LADAPT CMPR LES BAUMES,260000682,B,2,4,3,2,4.888147,44.911092
CH DROME-VIVARAIS - SITE DE MONTELEGER,260000823,B,2,4,1,3,4.912716,44.872336
AGDUC CENTRE DE DIALYSE MONTELIMAR,260001631,A,1,4,3,2,4.786365,44.570608
CLINIQUE KENNEDY,260003017,B,2,4,2,2,4.750839,44.558556
AGDUC CENTRE DE DIALYSE CREST,260003140,A,1,4,3,,5.0219306,44.7295412
AGDUC VALENCE / MARECHAL JUIN,260003215,A,1,4,3,2,4.889738,44.912623
CLINIQUE GENERALE VALENCE,260006267,A,1,4,2,2,4.878901,44.900873
AGDUC CENTRE DIALYSE ROMANS-SUR-ISERE,260006820,A,1,4,3,2,5.052737,45.044231
AURAL UNITE DIALYSE CH VALENCE,260010418,B,2,4,3,1,4.891617,44.912767
AURAL UNITE DIALYSE CH MONTELIMAR,260012760,B,2,4,3,1,4.786365,44.570608
AGDUC CENTRE DE DIALYSE PIERRELATTE,260016993,A,1,4,3,1,4.707164,44.371203
DIEULEFIT SANTE,260017454,A,1,4,3,2,5.066481,44.531209
CHU/ SERVICE NEUROCHIRURGIE - CHU42,260020078,,,,1,2,4.389595,45.433767
CH BERNAY,270000045,B,2,4,1,2,0.589535,49.090157
HOPITAL PRIVE PASTEUR EVREUX,270000326,B,2,4,2,2,1.16078,49.029015
CMPR LA LOVIERE LOUVIERS,270000342,A,1,4,2,2,1.15839,49.208313
CH EVREUX CH EURE-SEINE,270000359,B,2,4,1,3,1.118011,49.032807
CH GISORS,270000367,B,2,4,1,2,1.7615322,49.2794473
CH LOUVIERS CHI ELBEUF,270000391,B,2,4,1,2,1.175485,49.21028
CTRE DE CONVALESCENCE L'HOSTREA NOYERS,270000417,A,1,4,3,2,1.679442,49.242268
CH PONT-AUDEMER,270000425,A,1,4,1,2,0.514951,49.350431
CLINIQUE LE VALLON,270000433,A,1,4,2,2,0.960518,49.286301
CH VERNEUIL-SUR-AVRE,270000441,B,2,4,1,2,0.922517,48.740857
CH VERNON CH EURE-SEINE,270000458,B,2,4,1,2,1.488457,49.091203
HL SAINT-JACQUES LES ANDELYS,270000474,B,2,4,1,2,1.395634,49.24545
CH PIERRE HURABIELLE BOURG-ACHARD,270000482,A,1,4,1,2,0.814407,49.349999
HL LE NEUBOURG,270000516,B,2,4,1,2,0.9046594,49.1496995
NOUVEL HOPITAL DE NAVARRE,270000573,B,2,4,1,3,1.114691,49.017541
CLINIQUE BERGOUIGNAN,270000862,B,2,4,2,2,1.145917,49.019569
CLINIQUE LES BRUYERES BROSVILLE,270000870,A,1,4,2,2,1.136165,49.10479
CMPR LADAPT ST ANDRE DE L'EURE,270000896,B,2,4,3,2,1.288187,48.926372
HOPITAL LA MUSSE ST SEBASTIEN/MORSENT,270000912,B,2,4,3,3,1.077441,49.004357
HAD EURE SEINE,270016058,A,1,4,2,2,1.119529,49.0197308
UNITE AUTODIALYSE ASSISTEE ASS ANIDER,270017338,B,2,4,3,1,1.175485,49.21028
UNITE AUTODIALYSE ASSISTEE ASS ANIDER,270017379,B,2,4,3,1,0.454116,49.138498
UNITE AUTODIALYSE ASSISTEE ASS ANIDER,270017429,B,2,4,3,2,1.452075,49.104042
UNITE AUTODIALYSE ASSISTEE ASS ANIDER,270017478,B,2,4,3,2,1.168418,49.023225
CLINIQUE LA MARE Ô DANS,270025984,A,1,4,2,2,1.174012,49.297812
USLD CH EURE SEINE,270026107,B,2,4,1,2,1.1429215,49.035102599
CLINIQUE DES PORTES DE L'EURE,270027279,B,2,4,2,,1.4886571,49.0917814
CH CHARTRES - HÔTEL DIEU,280000043,B,2,4,1,2,1.482525,48.440698
CH BONNEVAL,280000050,B,2,4,1,3,1.388164,48.178818
CH DREUX,280000084,B,2,4,1,3,1.365552,48.736375
CH DE LA LOUPE,280000100,B,2,4,1,2,1.009816,48.466279
CRF BEAUROUVRE SITE DE BLANDAINVILLE,280000266,B,2,4,3,2,1.291396,48.308338
KORIAN PARC DE GASVILLE,280000431,B,2,4,2,2,1.536632,48.468698
PÔLE MÉDICAL MAISON BLANCHE,280000449,B,2,4,2,2,1.355571,48.711808
CH CHATEAUDUN,280000662,B,2,4,1,2,1.351633,48.072866
CH CHARTRES - VAL DE L'EURE,280000696,B,2,4,1,2,1.488035,48.445986
ASSAD HAD D'EURE ET LOIR,280001678,B,2,4,3,2,1.5412582999,48.4506388
A.I.R.B.P. IRC NOGENT-LE-ROTROU,280006594,A,1,4,3,1,0.833721,48.317276
HDJ CRF BEAUROUVRE SITE DU COUDRAY,280007261,B,2,4,3,2,1.9089327,47.9037601
A.I.R.B.P IRC CHARTRES,280502741,A,1,4,3,2,1.4987939,48.4055309
CH NOGENT LE ROTROU - NOUVEL HÔPITAL,280502998,B,2,4,1,2,0.833721,48.317276
A.I.R.B.P. IRC - DREUX,280503848,A,1,4,3,2,1.3792849,48.7284639
CH CHARTRES LOUIS PASTEUR-LE COUDRAY,280504267,B,2,4,1,3,1.505686,48.423069
A.I.R.B.P. IRC CHATEAUDUN,280504309,A,1,4,3,1,1.351633,48.072866
NEPHROCARE VERNOUILLET,280504689,B,2,4,2,2,1.355571,48.711808
INSTITUT DIABETOLOGIE NUTRITION CENTRE,280505223,A,1,4,2,2,1.4548548999,48.4589782
CLINIQUE LA BOISSIÈRE,280505264,A,1,4,2,2,1.570225,48.454564
HOPITAL PRIVE D'EURE ET LOIR,280505777,B,2,4,2,2,1.452196,48.45422
LE C.A.L.M.E. ILLIERS COMBRAY,280506015,A,1,4,2,2,1.247579,48.300424
CHIC QUIMPER,290000025,A,1,4,1,3,-4.094997,47.987744
C.H. DES PAYS DE MORLAIX,290000033,B,2,4,1,3,-3.830612,48.56988
CHU/ CHRU BREST SITE HOPITAL MORVAN,290000058,B,2,4,1,3,-4.487571,48.392393
CHIC SITE DE CONCARNEAU,290000066,A,1,4,1,2,-3.902565,47.866574
CLINIQUE PASTEUR LANROZE,290000140,B,2,4,2,2,-4.48906,48.400718
CH FERDINAND GRALL LANDERNEAU,290000173,B,2,4,1,2,-4.241418,48.44802
CENTRE HOSPITALIER DOUARNENEZ,290000181,B,2,4,1,2,-4.318112,48.083908
CLINIQUE ST MICHEL ET STE ANNE,290000207,B,2,4,2,2,-4.128863,47.980714
POLYCLINIQUE QUIMPER SUD,290000215,B,2,4,2,2,-4.100121,47.982769
CHU/ CHRU BREST SITE HOPITAL DE CARHAIX,290000256,B,2,4,1,2,-3.575925,48.27508
CENTRE HOSPITALIER CROZON,290000272,B,2,4,1,2,-4.488901,48.245286
CENTRE HOSPITALIER LESNEVEN,290000322,B,2,4,1,2,-4.319878,48.571631
CLINIQUE DE KERFRIDEN,290000363,A,1,4,2,2,-4.090669,48.195457
CLINIQUE LES GLENANS,290000371,A,1,4,2,2,-4.100099,47.871148
CENTRE HOSPITALIER LANMEUR,290000389,A,1,4,1,2,-3.715409,48.647003
CENTRE MEDICAL LE GUERVENAN,290000553,B,2,4,1,2,-3.720931,48.521408
CENTRE DE SOINS DE SUITE DE KERAMPIR,290000686,A,1,4,3,2,-4.517894,48.428546
HOPITAL INSTRUCTION DES ARMEES,290000728,A,1,4,1,2,-4.492259,48.391432
CLINIQUE DE L'IROISE,290000736,A,1,4,2,2,-4.510383,48.439833
CLINIQUE PEN AN DALAR,290000744,A,1,4,2,2,-4.388558,48.435792
ETABLISSEMENT DE SOINS HOTEL DIEU,290000785,B,2,4,3,3,-4.222775,47.863934
FONDATION ILDYS SITE DE TY-YANN,290000827,B,2,4,3,2,-4.448706,48.393516
STE BRESTOISE REIN ARTIFICIEL,290000850,B,2,4,2,2,-4.488943,48.399668
EPSM FINISTERE SUD SITE QUIMPER,290000918,B,2,4,1,3,-4.095036,47.997358
GHBS - HOPITAL LA VILLENEUVE,290000934,B,2,4,1,2,-3.557977,47.869242
FONDATION ILDYS SITE DE PERHARIDY,290000975,B,2,4,3,2,-4.00658,48.718319
FONDATION ILDYS SITE ST LUC,290000983,B,2,4,3,2,-3.99036,48.724928
CENTRE HOSPITALIER ST RENAN,290001015,A,1,4,1,2,-4.618842,48.428964
POLE RÉADAPT DE CORNOUAILLE SAINT YVI,290002344,A,1,4,3,2,-3.97116702,47.9505608
CRF DE TREBOUL,290003953,B,2,4,2,2,-4.336589,48.089039
GHBS - HOPITAL KERGLANCHARD,290003995,B,2,4,1,2,-3.564048,47.876244
CLINIQUE DU GRAND LARGE,290004142,A,1,4,2,2,-4.491759,48.420197
CHU/ CHRU BREST SITE HOPITAL CAVALE BLANCHE,290004324,B,2,4,1,3,-4.537294,48.390558
CHU/ CHRU BREST SITE HOPITAL BOHARS,290004340,B,2,4,1,2,-4.510383,48.439833
CHU/ CHU BREST SITE GUILERS,290004365,B,2,4,1,2,-4.558759,48.423714
UNITE DIALYSE PLOURIN-LES-MORLAIX AUB,290005131,A,1,4,3,2,-3.829019,48.56673
UNITE AUTODIALYSE BREST HERMITAGE AUB,290005172,A,1,4,3,1,-4.470452,48.425714
UNITE DIALYSE DOUARNENEZ - AUB,290005230,A,1,4,3,1,-4.328619,48.093228
MAISON D'ENFANTS A CARACTERE SANITAIRE,290007905,A,1,4,3,1,-4.46393,48.239622
CTRE DE LONG SEJOUR - CH DOUARNENEZ,290008853,B,2,4,1,2,-4.318112,48.083908
GHBS USLD BOIS JOLY,290014687,B,2,4,1,2,-3.537729,47.868139
UDM SITE KERVERN BREST,290016294,A,1,4,3,,-4.529538,48.399703
CHU/ CTRE LONG SEJOUR BOHARS - CHRU BREST,290017946,B,2,4,1,2,-4.516012,48.429019
UNITE AUTODIALYSE MORLAIX - AUB,290018555,A,1,4,3,2,-3.817613,48.575421
UNITE DIALYSE QUIMPER KERRADENNEC AUB,290018563,A,1,4,3,2,-4.083018499,47.9775042
POLYCLINIQUE DE KERAUDREN,290019777,A,1,4,2,2,-4.476831,48.428046
UNITE AUTODIALYSE CONCARNEAU - AUB,290021070,A,1,4,3,1,-3.902565,47.866574
SAS CLINIQUE DE LA BAIE,290023431,B,2,4,2,2,-3.82834,48.592451
UNITE DIALYSE CARHAIX AUB,290023779,A,1,4,3,2,-3.62588,48.2746706
UNITE AUTODIALYSE LANDIVISIAU - AUB,290023787,A,1,4,3,1,-4.068598,48.512057
UNITE AUTODIALYSE LE FOLGOET - AUB,290023795,A,1,4,3,1,-4.1827054,48.298085
RESIDENCE KERFILY EPSM FINISTERE SUD,290024462,B,2,4,1,2,-4.076947,48.000635
LONG SEJOUR TY CREAC'H - CHIC QUIMPER,290025113,A,1,4,1,2,-4.128728,47.976712
LONG SEJOUR TY GLAZIK - CHIC QUIMPER,290025147,A,1,4,1,2,-4.088761,47.995873
UNITE AUTODIALYSE PLONEOUR LANVERN AUB,290025337,A,1,4,3,1,-4.286513,47.902474
UNITE AUTODIALYSE LANDERNEAU - AUB,290028539,A,1,4,3,1,-4.245326,48.450322
UNITE DIALYSE QUIMPER AUB SANTE,290029669,A,1,4,3,1,-4.106258,47.995245
UNITE AUTODIALYSE CROZON - AUB,290030808,A,1,4,3,1,-4.486293799,48.2467306
UDM DE BREST - AUB,290032028,A,1,4,3,2,-4.529538,48.399703
UNITE DIALYSE QUIMPERLE MELLAC AUB,290032655,A,1,4,3,1,-3.572403,47.908784
HAD DES PAYS DE MORLAIX,290032838,A,1,4,3,2,-3.854631299,48.5664204
GHBS - HOPITAL BOIS JOLY,290034610,B,2,4,1,2,-3.575554199,47.868487599
POLE READAPT DE CORNOUAILLE CONCARNEAU,290036466,A,1,4,3,2,-3.9223889,47.8757017
POLE RÉADAPT DE CORNOUAILLE QUIMPER,290036474,A,1,4,3,2,-4.095805594,47.98601815
INSTITUT DE RÉADAPTATION DU CAP HORN,290036706,,,,2,2,-4.2719276,48.4662099
MAISON SAINT JOSEPH,290037548,A,1,4,3,,-3.5426833,47.8690934
CH ND LA MISERICORDE,2A0000022,B,2,4,1,3,8.735141,41.922992
CRF ET MAISON DE REPOS DU FINOSELLO,2A0000030,A,1,4,2,2,8.747547,41.94422
CLINISUD,2A0000139,B,2,4,2,2,8.735379,41.923675
CLINIQUE DU SUD DE LA CORSE,2A0000154,A,1,4,2,2,9.276091,41.59807
HOPITAL LOCAL DE BONIFACIO,2A0000212,B,2,4,1,2,9.160486,41.388016
CENTRE REPOS CONVALESCENCE,2A0000261,B,2,4,2,2,8.8307626,41.9997675
CENTRE HOSPITALIER DE CASTELLUCCIO,2A0000287,B,2,4,1,2,8.736702,41.927916
HAD AJACCIO ET GRAND AJACCIO,2A0001988,A,1,4,3,2,8.748946,41.941988
CRF LES MOLINI,2A0002051,B,2,4,2,2,8.736313,41.92558
CENTRE HOSPITALIER DE SARTENE,2A0002614,D,4,4,1,2,8.9747199999,41.621822
CENTRE D'AUTO DIALYSE,2A0003174,B,2,4,3,2,8.7296193838,41.915203951
MAIS CONVAL ET REGIME VALICELLI,2A0022554,B,2,4,2,2,8.91567,41.943204
USLD D' AJACCIO,2A0023271,,,,1,2,8.738071,41.916516
CENTRE HOSPITALIER DE BASTIA,2B0000012,B,2,4,1,3,9.434643,42.681442
CH CORTE,2B0000038,B,2,4,1,2,9.150666,42.305643
CLINIQUE DR FILIPPI,2B0000079,B,2,4,2,2,9.44533,42.699486
POLYCLINIQUE LA RESIDENCE MAYMARD,2B0000145,B,2,4,2,2,9.448411,42.702254
POLYCLINIQUE DE FURIANI,2B0000392,B,2,4,2,2,9.433182,42.656579
MAISON DE CONVALES LA PALMOLA,2B0000400,A,1,4,2,2,9.355503,42.632426
HAD DE CORSE,2B0001739,B,2,4,3,2,9.4508809999,42.697283
CLINIQUE DU CAP,2B0003016,A,1,4,2,2,9.421791,42.897594
HAD CENTRE RAOUL FRANCOIS MAYMARD,2B0003289,B,2,4,2,2,9.445493,42.701042
CENTRE JOUR VILLA SAN ORNELLO,2B0003917,A,1,4,2,2,9.427504,42.553943
UNITE D'AUTODIALYSE DE CORTE,2B0004071,A,1,4,3,,9.154076,42.301602
USLD CENTRE HOSPITALIER BASTIA,2B0004089,B,2,4,1,2,9.452463,42.706365
CLINIQUE SAN ORNELLO,2B0004113,A,1,4,2,2,9.442673,42.578398
UNITE D'AUTODIALYSE ILE ROUSSE,2B0004212,A,1,4,3,1,8.944837,42.63233
UNITE D'AUTODIALYSE DE CATERAGGIO,2B0004584,B,2,4,2,1,9.5144732,42.1135718
CH CALVI,2B0005359,B,2,4,1,2,8.762277,42.548055
CLINIQUE DE TOGA,2B0005664,A,1,4,2,2,9.4508809999,42.697283
CH ALES CEVENNES,300000023,B,2,4,1,3,4.0944594,44.1453078
CH LOUIS PASTEUR,300000031,B,2,4,1,2,4.617194,44.161862
CH BEAUCAIRE,300000049,B,2,4,1,2,4.638533,43.807008
CH PONT ST ESPRIT,300000056,B,2,4,1,2,4.4806519999,44.271771
CH UZES,300000064,B,2,4,1,2,4.419764,44.012424
CH LE VIGAN,300000072,B,2,4,1,2,3.607324,43.991756
HOSPIT COMPLETE CH LE MAS CAREIRON,300000080,B,2,4,1,2,4.415353,44.008843
CH LES CHATAIGNIERS,300000478,A,1,4,1,2,3.976745,44.402338
CHATEAU DE COULORGUES,300002128,B,2,4,3,2,4.627453,44.161217
SSR GERIATRIQUE LES CADIERES,300002169,B,2,4,3,2,4.12004,44.133265
CL DU GRAND AVIGNON,300002508,A,1,4,2,2,4.75213,43.962731
AIDER SANTE UAD UDM CH ALES 1,300007119,A,1,4,3,2,4.094901,44.148614
AIDER SANTE UAD CH BAGNOLS SUR CEZE,300007168,A,1,4,3,1,4.605982,44.159854
NEPHROCARE HEMODIALYSE CENTRE NIMES,300008588,A,1,4,2,2,4.356128,43.81656
NEPHROCARE UDM BAGNOLS SUR CEZE,300008638,A,1,4,2,2,4.610059,44.155356
ADENE HAD NIMES,300012309,B,2,4,3,2,4.315011,43.816236
CENTRE MEDICAL DE L'EGREGORE UGECAM,300012358,A,1,4,3,2,4.2752216999,43.8236451
USLD LES CIGALES CH ALES,300012481,B,2,4,1,2,4.077927,44.083566
USLD LA ROSE DES VENTS CH ALES,300012499,B,2,4,1,2,4.0833519999,44.127204
ADENE HAD ALES,300013745,B,2,4,3,2,4.109047,44.116914
HAD 3G SANTE NIMES,300013778,B,2,4,2,2,4.340359,43.815728
GCS CTRE REEDUC GARD RHODANIEN,300014040,B,2,4,3,2,4.6100596,44.1553564
KENVAL ICG,300017209,B,2,4,2,2,4.1513764,43.9446996
CENTRE MEDICAL DE L'EGREGORE AUDAVIE,300017423,A,1,4,3,2,4.2752216999,43.8236451
CL AMBULATOIRE DE LA CEZE,300017498,B,2,4,2,2,4.6235831,44.160481
SSR FILIERIS LA POMAREDE,300780111,A,1,4,3,2,4.021555,44.211719
NOUVELLE CL BONNEFON,300780137,B,2,4,2,2,4.086644,44.121389
NOUVEL HOPITAL PRIVE LES FRANCISCAINES,300780152,B,2,4,2,2,4.373811,43.847193
CL BELLE RIVE,300780210,A,1,4,2,2,4.794061,43.956919
CL DU PONT DU GARD,300780244,A,1,4,2,2,4.555696,43.936841
CL NEURO PSYCHIATRIQUE QUISSAC,300780251,B,2,4,2,2,4.021086,43.909399
CL LES SOPHORAS,300780269,A,1,4,2,2,4.379721,43.853785
CL VALDEGOUR,300780285,B,2,4,2,2,4.324432,43.833408
CSSR LES CHATAIGNIERS,300780442,A,1,4,2,2,3.579389,43.976569
CL LES OLIVIERS,300780491,A,1,4,2,2,4.172845,43.721073
CENTRE LE PEYRON,300780764,B,2,4,3,,3.588202,44.005298
CL LA CAMARGUE MONT DUPLAN,300781424,B,2,4,2,2,5.292936,43.902293
CSSR DOMAINE DU CROS,300781440,B,2,4,2,2,4.021086,43.909399
POLYCL KENNEDY,300781465,B,2,4,2,2,4.349547,43.832201
CHU/ CHU NIMES CAREMEAU,300782117,A,1,4,1,3,4.318796,43.822525
CHU/ CENTRE DE SOINS PA SERRE CAVALIER,300782125,A,1,4,1,2,4.29409,43.861219
CHU/ CENTRE MEDICAL GRAU DU ROI CHU NIMES,300782141,A,1,4,1,2,4.136553,43.537127
INSTITUT REINSERTION AVEUGLES ARAMAV,300786274,B,2,4,3,2,4.337885,43.832725
AIDER SANTE UAD UDM CHU NIMES,300787421,A,1,4,3,2,4.318796,43.822525
POLYCL GRAND SUD,300788502,A,1,4,2,2,4.356128,43.81656
HOPITAUX LUCHON CTRE CONVAL GERONTO,310000013,B,2,4,1,2,0.597234,42.791817
CH COMMINGES PYRENEES SITE ST PLANCARD,310000310,A,1,4,1,2,0.706414,43.115046
CH REVEL,310000336,A,1,4,1,2,2.003814,43.454278
CH GERARD MARCHANT,310000369,B,2,4,1,3,1.42436,43.559634
HAD SANTE RELAIS DOMICILE,310005459,B,2,4,3,2,1.485161,43.641607
NEPHROCARE OC UAD RIEUX VOLVESTRE,310006473,A,1,4,2,1,1.203212,43.257921
NEPHROCARE OC UDM CORNEBARRIEU,310011838,A,1,4,2,1,1.3170079999,43.6570992
CH MURET,310013628,B,2,4,1,2,1.309542,43.443209
SSR DEF VISUELS BASSE VISION A MATHIS,310014329,A,1,4,3,2,0.7283958,43.118151
CHU/ HOPITAUX MERE & ENFANTS SITE VIGUIER,310016977,B,2,4,1,3,1.401794,43.606232
CL NEPHRO ST EXUPERY UAD TLS SANS,310018684,A,1,4,2,1,1.415688,43.594335
CHU/ HOPITAL LARREY CHU TLSE,310019351,B,2,4,1,2,1.456843,43.552705
AAIR UAD COLOMIERS MONNET,310020169,B,2,4,3,2,1.346308,43.622062
CL KORIAN VAL DE SAUNE,310020938,A,1,4,2,2,5.292936,43.902293
CL DES MINIMES,310021571,A,1,4,2,2,1.4385465999,43.6259319
CHU/ HOPITAL GARONNE CHU TOULOUSE,310022298,B,2,4,1,2,1.399364,43.616509
CL LA RECOUVRANCE,310023007,B,2,4,2,2,1.3901634999,43.8423279
CHU/ ONCOPOLE CHU TOULOUSE,310025333,B,2,4,1,2,1.43652,43.599117
CL RIVE GAUCHE,310026083,A,1,4,2,2,1.4313511999,43.5965384
CL NEPHRO ST EXUPERY UDM UNION ST JEAN,310026612,A,1,4,2,1,1.5070445,43.6485744
CL CAPIO LA CROIX DU SUD,310026927,B,2,4,2,3,1.5080987295,43.58286365
CL DE MONTBERON,310780119,A,1,4,2,2,1.485137,43.720398
CL DU CHATEAU DE SEYSSES,310780143,A,1,4,2,2,1.310983,43.499765
CL MEDIPOLE GARONNE,310780150,A,1,4,2,2,1.423956,43.563143
CL DU CABIROL,310780234,A,1,4,2,2,1.328983,43.597375
CL PASTEUR,310780259,A,1,4,2,3,1.4172426,43.595245
CL DE L'UNION,310780283,A,1,4,2,3,1.51474,43.650554
MAISON DE SANTE DE MAILHOL,310780358,B,2,4,2,2,1.665683,43.481859
CL MONIE,310780366,A,1,4,2,2,1.7352382999,43.4108807
CL DU CHATEAU DE VERNHES,310780374,A,1,4,2,2,1.540416,43.840027
CL AMBROISE PARE,310780382,B,2,4,2,2,1.413958,43.589494
CL DE BEAUPUY,310780390,B,2,4,2,2,1.55441,43.647182
MECS CASTELNOUVEL,310780481,A,1,4,3,2,1.254954,43.601369
CL DES CEDRES,310781000,B,2,4,2,3,1.326295,43.649436
HOPITAL JOSEPH DUCUING,310781067,B,2,4,3,2,1.430133,43.596529
CL ST ROCH,310781125,A,1,4,2,2,1.388316,43.839342
CLINIQUE D'AUFRERY,310781133,A,1,4,2,2,1.526588,43.612089
CL DU VIEUX CHATEAU D'OC,310781141,B,2,4,2,2,1.5325286,43.6777525
CL MARIGNY,310781158,B,2,4,2,2,1.479607,43.695598
CENTRE PAUL DOTTIN,310781422,A,1,4,3,2,1.472122,43.548308
CENTRE POSTCURE ROUTE NOUVELLE,310781430,A,1,4,3,2,1.45585,43.599355
CL D'OCCITANIE,310781505,A,1,4,2,2,1.339427,43.468499
POLYCL DE LA LEZE,310781695,B,2,4,2,2,1.391035,43.420507
CL DE VERDAICH,310781984,A,1,4,2,2,1.470778,43.254704
CL NEPHRO ST EXUPERY TLS LECRIVAIN,310782016,A,1,4,2,2,1.483582,43.576387
AAIR MIDI PYRENEES,310782065,B,2,4,3,1,1.346308,43.622062
CHU/ CRF LA FONTAINE SALEE CHU TOULOUSE,310782339,B,2,4,1,2,0.958687,43.103402
INSTITUT CLAUDIUS REGAUD,310782347,A,1,4,3,2,1.432727,43.599437
CL SSR KORIAN ESTELA,310782396,A,1,4,2,2,1.413354,43.477116
CHU/ HOPITAL PURPAN CHU TLSE,310783048,B,2,4,1,3,1.397677,43.608144
CHU/ HOPITAL DE RANGUEIL CHU TOULOUSE,310783055,B,2,4,1,3,1.453769,43.558618
CHU/ HOPITAL LA GRAVE CHU TLSE,310783063,B,2,4,1,2,1.433977,43.600896
HOPITAUX LUCHON CTRE REEDUC FONCTION,310784558,B,2,4,1,2,0.595668,42.784881
CRF LES GRANDS CEDRES,310784830,B,2,4,2,2,1.326295,43.649436
CL DES PYRENEES,310786389,B,2,4,2,2,1.339268,43.598768
SSR DOMAINE DE LA CADENE,310786702,A,1,4,3,2,1.4248939,43.6571579
CENTRE DE REEDUCATION DU MIRAIL,310787965,B,2,4,3,2,1.39548,43.566414
CL ST ORENS,310790472,A,1,4,2,2,1.5365653,43.5486224
SSR LE MARQUISAT,310792635,A,1,4,2,2,1.5111769,43.6496258
